Date,Rendement_Bitcoin,Rendement_gold,Rendement_nvidia
2020-04-15,92.073390927525764,113.87998167659185,117.05568522840946
2020-04-16,98.413844829023034,113.32373535763367,122.82427475825276
2020-04-17,97.7221589488597,111.17073489954848,121.84061353784594
2020-04-18,100.43056751576434,,
2020-04-19,98.931914775410419,,
2020-04-20,94.9123586766299,111.98220011779334,119.63987995998669
2020-04-21,95.037362148948574,110.45088672207316,112.33744581527176
2020-04-22,98.793022028389672,113.75564426411884,119.27309103034347
2020-04-23,104.00983360648908,114.22027354230747,118.3727909303101
2020-04-24,104.22233950943082,113.57895425692035,120.70690230076693
2020-04-25,104.73068696352676,,
2020-04-26,106.65435150976414,,
2020-04-27,107.86410733631489,112.80675348471958,123.82460820273424
2020-04-28,107.59882218950526,112.70204829526864,121.44048016005335
2020-04-29,121.82143948443012,112.12616975328842,124.39146382127377
2020-04-30,119.85055140420566,110.869707479877,121.82394131377126
2020-05-01,122.52562571182533,111.30816046070284,117.85595198399467
2020-05-02,124.53540376121556,,
2020-05-03,123.41315036528793,,
2020-05-04,123.26314619850551,112.11962567894771,121.40713571190396
2020-05-05,125.0173615933776,111.94293567174923,122.44081360453485
2020-05-06,127.10630850856968,110.49669524245796,124.1247082360787
2020-05-07,138.61218367176863,112.93763497153329,127.07569189729911
2020-05-08,136.20100558348844,112.15889012499183,130.2434144714905
2020-05-09,132.70646406844634,,
2020-05-10,121.37559376649349,,
2020-05-11,119.16719908886357,111.11838230482299,134.47815938646215
2020-05-12,122.41728936914913,111.69426084680323,130.09336445481827
2020-05-13,129.15219867218534,112.32249198350894,129.70990330110038
2020-05-14,135.81488374677073,113.92579019697664,133.89463154384796
2020-05-15,129.42026167393539,114.93357764544206,141.56385461820605
2020-05-16,130.274452068113,,
2020-05-17,134.41623378427178,,
2020-05-18,135.15236534348176,113.50042536483215,145.8819606535512
2020-05-19,135.74404844579016,114.23336169098881,146.81560520173392
2020-05-20,132.11894774854855,114.65872652313331,149.54984994998335
2020-05-21,125.82293952609795,112.68241607224658,146.29876625541849
2020-05-22,127.36048223561767,113.57241018257969,150.48349449816607
2020-05-23,127.46187394094279,,
2020-05-24,121.22836745465153,,
2020-05-25,123.5895441540043,111.61573195471502,
2020-05-26,122.8159115530987,112.3813886525751,145.34844948316109
2020-05-27,127.76882691185867,111.94947974608993,142.13071023674559
2020-05-28,132.95091530320286,113.1012368300504,141.49716572190732
2020-05-29,130.903636212117,114.63255022577057,147.96598866288764
2020-05-30,134.6217950498625,,
2020-05-31,131.32031445317924,,
2020-06-01,141.52198672185335,114.54093318500098,146.81560520173392
2020-06-02,132.33145365149034,113.47424906746942,147.13237745915308
2020-06-03,134.2703963999,111.56337935998953,146.19873291097031
2020-06-04,136.03711214200393,113.04234016098424,146.16538846282094
2020-06-05,133.7703825106253,110.13677115372032,148.71623874624876
2020-06-06,134.30373065918496,,
2020-06-07,135.31764771243647,,
2020-06-08,135.80793910941969,111.58301158301158,146.79893297765923
2020-06-09,135.68154670963082,112.68241607224658,150.81693897965988
2020-06-10,137.20936692685905,112.60388718015837,156.16872290763587
2020-06-11,128.9369149143032,113.85380537922912,146.64888296098698
2020-06-12,131.48420789466374,113.690203520712,148.93297765921974
2020-06-13,131.54948748576348,,
2020-06-14,129.79943887330202,,
2020-06-15,130.91196977693824,113.02925201230288,152.95098366122039
2020-06-16,132.27450762521181,113.63785092598653,151.2004001333778
2020-06-17,131.45642934525958,113.57895425692035,153.98466155385128
2020-06-18,130.39389983055085,113.28447091158955,153.68456152050683
2020-06-19,129.36470457512706,114.71762319219947,154.40146715571859
2020-06-20,129.98694408178005,,
2020-06-21,129.12025334037057,,
2020-06-22,134.49956943248424,115.5945291538512,158.83627875958652
2020-06-23,133.6787132975916,116.61540475099798,157.55251750583528
2020-06-24,129.19803327870218,116.16386362149073,153.98466155385128
2020-06-25,128.44106780743908,115.86938027615994,158.21940646882297
2020-06-26,127.22575627100751,116.50415548720633,152.63421140380126
2020-06-27,125.11875329870273,,
2020-06-28,126.72574238173281,,
2020-06-29,127.57854384844023,116.56305215627249,153.38446148716241
2020-06-30,126.88408011333647,117.82605850402462,158.35278426142051
2020-07-01,128.19661657268259,116.47797918984362,158.88629543181059
2020-07-02,126.18544959582212,117.13893069825274,160.25341780593533
2020-07-03,125.93544265118474,117.3679733001767,
2020-07-04,126.8701908386344,,
2020-07-05,126.1285035695436,,
2020-07-06,129.71193644267896,117.72789738891434,164.03801267089031
2020-07-07,128.55912664240674,118.44120149204895,164.58819606535513
